time,latitude,longitude,valid_time,t2m,t2m_c
2025-08-15 00:00:00,51.5,0.0,2025-08-15 00:00:00,292.52625,19.376251
2025-08-15 06:00:00,51.5,0.0,2025-08-15 06:00:00,290.66827,17.51828
2025-08-15 12:00:00,51.5,0.0,2025-08-15 12:00:00,300.16016,27.010162
2025-08-15 18:00:00,51.5,0.0,2025-08-15 18:00:00,300.73636,27.586365
2025-08-16 00:00:00,51.5,0.0,2025-08-16 00:00:00,291.5502,18.400208
2025-08-16 06:00:00,51.5,0.0,2025-08-16 06:00:00,289.8957,16.745697
2025-08-16 12:00:00,51.5,0.0,2025-08-16 12:00:00,292.20178,19.051788
2025-08-16 18:00:00,51.5,0.0,2025-08-16 18:00:00,293.8217,20.671692
2025-08-17 00:00:00,51.5,0.0,2025-08-17 00:00:00,286.92096,13.770966
2025-08-17 06:00:00,51.5,0.0,2025-08-17 06:00:00,285.96228,12.812286
2025-08-17 12:00:00,51.5,0.0,2025-08-17 12:00:00,295.1535,22.00351
2025-08-17 18:00:00,51.5,0.0,2025-08-17 18:00:00,292.98914,19.839142
2025-08-18 00:00:00,51.5,0.0,2025-08-18 00:00:00,290.40295,17.25296
2025-08-18 06:00:00,51.5,0.0,2025-08-18 06:00:00,289.5832,16.433197
2025-08-18 12:00:00,51.5,0.0,2025-08-18 12:00:00,292.58304,19.433044
